epsilon,sh,w,l,s11,directivity,gain,efficency
4.6,1.6,37.351,28.807,30.691,6.163,1.385,33.3
4.6,1,37.551,29.007,37.378,6.086,0.478,27.5
4.6,1.1,37.451,28.907,59.204,6.098,0.66,28.6
4.6,1.2,37.651,29.107,40.621,6.114,0.936,30.4
4.6,1.3,37.251,28.607,35.741,6.122,0.899,30
4.6,1.4,37.051,28.507,32.637,6.136,1.035,30.9
4.6,1.5,37,28.67,30.335,6.152,1.249,32.3
4.6,1.6,37.1,28.7,29.972,6.164,1.362,33.1
4.6,1.7,37.151,28.757,29.69,6.177,1.491,34
4.6,1.8,36.957,28.685,29.06,6.191,1.579,34.6
4.6,1.9,36.901,28.591,29.464,6.202,1.629,34.9
4.6,2,36.857,28.432,30.375,6.213,1.629,34.8
4.6,1.05,36.801,28.101,43.58,6.09,0.341,26.6
4.6,1.15,36.521,27.995,34.773,6.109,0.622,28.3
4.6,1.25,36.495,27.707,32.681,6.119,0.706,28.8
4.6,1.35,36.395,27.68,30.281,6.133,0.888,29.9
4.6,1.45,36.832,27.932,30.136,6.137,0.872,29.8
4.6,1.55,38.102,29.123,33.942,6.16,1.459,33.9
4.6,1.65,37.595,29.134,30.255,6.175,1.606,34.9
4.6,1.75,37.645,29.167,30.068,6.189,1.735,35.9
4.6,1.85,37.696,29.189,30.177,6.203,1.85,36.7
4.6,1.95,37.735,29.147,30.842,6.216,1.921,37.2
4.6,1.03,37.832,29.172,37.727,6.091,0.61,28.3
4.6,1.07,37.874,29.199,42.779,6.097,0.712,28.9
4.6,1.13,37.892,29.232,44.249,6.106,0.855,29.8
4.6,1.17,37.915,29.272,47.147,6.112,0.954,30.5
4.6,1.23,37.945,29.299,40.644,6.12,1.079,31.3
4.6,1.27,37.974,29.324,38.298,6.126,1.163,31.9
4.6,1.33,38.015,29.356,35.609,6.135,1.279,32.7
4.6,1.37,38.104,29.379,32.195,6.141,1.378,33.4
4.6,1.43,38.149,29.4,33.986,6.149,1.457,33.9
4.6,1.47,38.125,29.439,33.134,6.156,1.537,34.5
4.6,1.53,38.157,29.456,32.32,6.164,1.629,35.2
4.6,1.57,38.179,29.479,32.047,6.17,1.696,35.7
4.6,1.63,38.196,29.499,31.663,6.179,1.784,36.3
4.6,1.67,38.224,29.524,31.449,6.185,1.848,36.8
4.6,1.73,38.269,29.569,31.292,6.195,1.947,37.6
4.6,1.77,38.294,29.601,31.054,6.201,2.012,38.1
4.6,1.83,38.325,29.636,31.083,6.21,2.101,38.8
4.6,1.87,38.357,29.679,31.06,6.216,2.171,39.4
4.6,1.93,38.386,29.691,31.249,6.226,2.118,38.8
4.6,1.97,38.412,29.734,31.174,6.232,2.309,40.5
2.33,1.6,34.249786,41.546913,6.927,7.076,5.944,77.1
2.33,1.2,34.805,40.6913,7.046,7.034,5.513,70.5
2.33,1.414,32.89878,42.2186,6.165,7.062,5.987,78.1
2.33,1.9387,33.265,39.6532,6.235,7.905,6.074,79.1
2.33,1.309,34.001,41.002,6.716,7.044,5.678,73
2.33,1.99,32.15,39.537,7.12,7.054,5.384,68.1
2.33,1.001,36.233,40.9685,5.844,7.006,5.426,69.5
2.33,1.789,34.001,40,7.864,7.057,5.399,68.3
2.33,1.8435,34,41,8.232,7.064,5.459,69.1
2.33,1.037,35.99,42,6.293,7.038,5.761,74.5
2.33,1.5123,36,41.099,7.584,7.075,5.851,75.4
